ticker,date,close_price
NVDA,2025-08-21,174.75
NVDA,2025-08-22,177.75
NVDA,2025-08-25,179.57
NVDA,2025-08-26,181.53
NVDA,2025-08-27,181.36
NVDA,2025-08-28,179.93
NVDA,2025-08-29,173.95
NVDA,2025-09-02,170.55
NVDA,2025-09-03,170.39
NVDA,2025-09-04,171.43
NVDA,2025-09-05,166.8
NVDA,2025-09-08,168.09
NVDA,2025-09-09,170.53
NVDA,2025-09-10,177.09
NVDA,2025-09-11,176.94
NVDA,2025-09-12,177.59
NVDA,2025-09-15,177.52
NVDA,2025-09-16,174.66
NVDA,2025-09-17,170.07
NVDA,2025-09-18,176.02
NVDA,2025-09-19,176.44
NVDA,2025-09-22,183.38
NVDA,2025-09-23,178.2
NVDA,2025-09-24,176.74
NVDA,2025-09-25,177.46
NVDA,2025-09-26,177.96
NVDA,2025-09-29,181.62
NVDA,2025-09-30,186.34
NVDA,2025-10-01,187.0
NVDA,2025-10-02,188.65
NVDA,2025-10-03,187.38
NVDA,2025-10-06,185.3
NVDA,2025-10-07,184.8
NVDA,2025-10-08,188.87
NVDA,2025-10-09,192.32
NVDA,2025-10-10,182.93
NVDA,2025-10-13,188.08
NVDA,2025-10-14,179.8
NVDA,2025-10-15,179.6
NVDA,2025-10-16,181.58
NVDA,2025-10-17,182.99
NVDA,2025-10-20,182.41
NVDA,2025-10-21,180.93
NVDA,2025-10-22,180.05
NVDA,2025-10-23,181.93
NVDA,2025-10-24,186.02
NVDA,2025-10-27,191.25
NVDA,2025-10-28,200.77
NVDA,2025-10-29,206.78
NVDA,2025-10-30,202.63
NVDA,2025-10-31,202.23
NVDA,2025-11-03,206.62
NVDA,2025-11-04,198.44
NVDA,2025-11-05,194.96
NVDA,2025-11-06,187.84
NVDA,2025-11-07,187.91
NVDA,2025-11-10,198.8
NVDA,2025-11-11,192.91
NVDA,2025-11-12,193.55
NVDA,2025-11-13,186.62
NVDA,2025-11-14,189.93
NVDA,2025-11-17,186.36
NVDA,2025-11-18,181.13
NVDA,2025-11-19,186.28
